[-51, 78, 22, 68, 20, 23, -47, -36, 96, -14, 70, 4, 30, -17, -33, -90, -79, 56, 43, 9]
[57, -55, 0, 35, -32, 80, 59, -71, 21, -53, 40, 69, 56, -12, -52, 50, 16, -11, 27, -91]
[84, 68, -90, 94, -60, 11, -64, -80, -88, 94, 23, 21, -74, 86, -53, -75, -89, 69, 57, -4]
[-61, -71, 31, 61, 20, 41, -63, 34, 34, 34, 12, 1, -82, 94, 3, -45, 18, -13, 63, -97]
[-88, -54, 98, 84, 44, 10, 76, 98, 14, -43, 87, -45, 53, -11, -28, 24, -99, -81, -85, -97]
[-34, 11, 50, 96, 12, -81, 21, -13, 65, 51, -15, 49, -28, -64, 39, -71, -96, 95, 10, 27]
[48, -9, 22, 35, 10, -86, -23, -83, 42, -27, -60, 28, 54, -9, 6, 71, -9, -15, -22, -43]
[70, 45, 93, 14, -45, -41, -97, -2, -71, 65, -42, -21, 12, -93, -97, 6, 39, -47, -18, 45]
[-1, -22, 54, 14, 8, 54, 71, -60, -82, 75, 80, 43, -1, -3, 89, -84, -60, 2, -89, 10]
[63, 64, -40, 7, 84, 89, -64, -9, 43, -63, -79, 12, -94, -25, -3, -25, 27, -67, -91, -61]
